Date,Ticker,Type,Entry_Price,Initial_Target,Status,Exit_Price,PnL,Confidence,Exit_Date
2025-12-25,GOOG,LONG,315.6700134277344,325.05010020040083,CLOSED,317.5599975585937,0.0059872146560162,0.2307810600454879,
2025-12-25,NVDA,LONG,188.6100006103516,200.06012024048096,OPEN,0.0,0.0,0.2012086860711567,
2025-12-25,META,LONG,667.5499877929688,688.6172344689379,CLOSED,643.9249877929688,-0.035390608092299,0.2867012892905422,
2025-12-25,TSLA,LONG,485.3999938964844,504.9498997995992,CLOSED,453.5570068359375,-0.0656015398865819,0.1945370015271961,
2025-12-25,ORCL,SHORT,197.4900054931641,185.16032064128257,OPEN,0.0,0.0,0.1772871280440397,
2025-12-25,ADBE,LONG,352.9800109863281,364.83967935871743,CLOSED,331.2699890136719,-0.061504961462243,0.289349874434642,
2025-12-25,CRM,SHORT,265.260009765625,255.0701402805612,CLOSED,255.7400054931641,0.0358893309280675,0.2341382147525306,
2025-12-25,IBM,LONG,304.5599975585937,314.92985971943887,CLOSED,296.1600036621094,-0.0275807524422778,0.2742320392798554,
2025-12-25,AMD,LONG,215.0399932861328,220.120240480962,CLOSED,204.22999572753903,-0.0502697074781337,0.2438868538179794,
2025-12-25,AVGO,SHORT,350.2200012207031,329.85971943887773,CLOSED,344.9700012207031,0.0149905772991289,0.2505318796548872,
2025-12-25,TSM,SHORT,298.79998779296875,285.31062124248496,CLOSED,323.70001220703125,-0.0833334184448331,0.212003740052577,
2025-12-25,AMAT,SHORT,260.7799987792969,250.2705410821644,CLOSED,280.0899963378906,-0.0740470804854024,0.1635193781212022,
2025-12-25,IWM,LONG,252.7100067138672,267.0,OPEN,0.0,0.0,0.4261450555638612,
2025-12-25,DIA,LONG,487.010009765625,505.0,CLOSED,478.1199951171875,-0.0182542750049754,0.4318057665825545,
2025-12-25,TLT,SHORT,88.02999877929688,84.03807615230461,OPEN,0.0,0.0,0.1834868360304149,
2025-12-25,GLD,SHORT,411.9299926757813,235.94188376753507,CLOSED,465.6203918457031,-0.1303386500729507,0.2302840677941705,
2025-12-25,SLV,SHORT,65.22000122070312,19.0,CLOSED,69.6449966430664,-0.0678472146510575,0.2481026087888614,
2025-12-25,XLE,LONG,44.369998931884766,50.0,OPEN,0.0,0.0,0.1849795253159906,
2025-12-25,XLF,LONG,55.72999954223633,59.5,CLOSED,52.165000915527344,-0.0639691127936788,0.3494624119448766,
2025-12-25,XLK,LONG,146.3000030517578,160.0,OPEN,0.0,0.0,0.2391990273055274,
2025-12-25,XBI,LONG,126.3000030517578,150.0,CLOSED,119.5999984741211,-0.0530483326662394,0.1602142453354014,
2025-12-25,JPM,LONG,329.1700134277344,355.0,CLOSED,329.19000244140625,6.072550006522197e-05,0.2962132049860292,
2025-12-25,C,LONG,121.55999755859376,125.0,OPEN,0.0,0.0,0.2165433012681466,
2025-12-25,WFC,LONG,95.3000030517578,104.0,CLOSED,88.37999725341797,-0.0726128601966733,0.3089527774349849,
2025-12-25,MS,LONG,181.6499938964844,200.0,OPEN,0.0,0.0,0.2634430492881096,
2025-12-25,V,LONG,355.1400146484375,390.0,CLOSED,352.42498779296875,-0.007644947748725,0.2568472109079054,
2025-12-25,MA,LONG,579.4500122070312,610.0,CLOSED,583.25,0.0065579216721304,0.4130958981044845,
2025-12-25,WMT,LONG,111.61000061035156,130.0,CLOSED,124.51499938964844,0.1156258284089639,0.1501986290812753,
2025-12-25,HD,LONG,347.3399963378906,359.9198396793587,CLOSED,379.5899963378906,0.0928485067657666,0.3677123767262605,
2025-12-25,LOW,SHORT,243.0,235.0,CLOSED,257.1499938964844,-0.0582304275575488,0.3317659508888912,
2025-12-25,SBUX,SHORT,84.56999969482422,76.0,CLOSED,88.98999786376953,-0.0522643748952954,0.1902579688417575,
2025-12-25,MCD,SHORT,313.3299865722656,285.0,CLOSED,334.3900146484375,-0.0672135734806685,0.2143423850130483,
2025-12-25,KO,LONG,70.11000061035156,80.0,OPEN,0.0,0.0,0.1794970352185604,
2025-12-25,PEP,SHORT,143.74000549316406,135.0,CLOSED,166.86000061035156,-0.1608459317770586,0.2884093872359686,
2025-12-25,PG,LONG,144.49000549316406,165.0,OPEN,0.0,0.0,0.1799747526549175,
2025-12-25,XOM,SHORT,119.22000122070312,110.0,CLOSED,129.88999938964844,-0.0894983900326652,0.2310058206615965,
2025-12-25,SLB,SHORT,37.970001220703125,34.0,CLOSED,43.310001373291016,-0.1406373447698563,0.2400224045538467,
2025-12-25,GE,SHORT,316.75,309.9699398797595,CLOSED,314.0199890136719,0.0086188192149269,0.2891479087994045,
2025-12-25,CAT,LONG,583.760009765625,605.0901803607214,CLOSED,617.6199951171875,0.0580032629593058,0.3155948402212816,
2025-12-25,BA,LONG,218.1600036621093,230.16032064128257,CLOSED,230.3300018310547,0.05578473581158599,0.2913221259239163,2026-08-13
2025-12-25,LMT,LONG,485.75,525.0,CLOSED,542.9199829101562,0.1176942520023803,0.2935580040765914,
2025-12-25,RTX,LONG,186.3800048828125,200.0,OPEN,0.0,0.0,0.3172975543223253,
2025-12-25,UPS,SHORT,100.66000366210938,89.0,CLOSED,107.70999908447266,-0.0700377028201624,0.165846006533517,
2025-12-25,LLY,SHORT,1076.97998046875,1045.7314629258517,CLOSED,1063.56005859375,0.0124606976159009,0.3335399188814015,
2025-12-25,JNJ,SHORT,207.77999877929688,195.0,CLOSED,218.6600036621093,-0.0523631001382823,0.268648433130245,
2025-12-25,PFE,SHORT,25.030000686645508,23.0,CLOSED,26.96500015258789,-0.0773072078649514,0.1654070417663102,
2025-12-25,MRK,LONG,106.4499969482422,117.0,OPEN,0.0,0.0,0.2401364507786079,
2025-12-25,ABBV,LONG,229.88999938964844,250.0,CLOSED,214.3500061035156,-0.0675975176275221,0.2777438755679901,
2025-12-25,PLTR,SHORT,194.1699981689453,190.1302605210421,CLOSED,134.3800048828125,0.3079260125146118,0.1846028949220222,
2025-12-25,BABA,SHORT,150.05999755859375,135.17034068136272,CLOSED,165.39999389648438,-0.1022257536149888,0.1978780251013158,
2025-12-25,JD,SHORT,29.170000076293945,26.0,OPEN,0.0,0.0,0.1826197117451011,
2026-01-05,AMZN,SHORT,231.4600067138672,214.93987975951904,CLOSED,245.46499633789065,-0.0605071684860725,0.2240064499461891,
2026-01-05,TSLA,SHORT,453.3200988769531,429.43887775551104,CLOSED,435.1799926757813,0.040016108366057,0.2021956047027072,
2026-01-05,NFLX,SHORT,91.76499938964844,40.0,CLOSED,99.4001007080078,-0.0832027610651371,0.3261207723359753,
2026-01-05,ADBE,LONG,331.7900085449219,344.9899799599198,CLOSED,339.9349975585937,0.0245486265526561,0.2869116632081123,
2026-01-05,TSM,LONG,323.5400085449219,349.6993987975952,CLOSED,372.6900024414063,0.1519131872361935,0.164541171246981,
2026-01-05,AMAT,SHORT,280.010009765625,235.1002004008016,CLOSED,295.19000244140625,-0.0542123215112462,0.4622278807084554,
2026-01-05,SPY,LONG,686.97998046875,710.0,CLOSED,777.8800048828125,0.13231830184052568,0.5841358549922397,2026-08-13
2026-01-05,QQQ,LONG,619.2100219726562,660.0,OPEN,0.0,0.0,0.2981714292976174,
2026-01-05,XBI,LONG,119.66999816894533,122.96593186372746,CLOSED,122.83000183105467,0.0264059807007617,0.2306629121457074,
2026-01-05,ARKK,SHORT,80.62999725341797,73.0,OPEN,0.0,0.0,0.1574296695349294,
2026-01-05,SMH,SHORT,380.30999755859375,357.71543086172346,CLOSED,387.1008911132813,-0.0178562057223889,0.2358568507669812,
2026-01-05,BAC,LONG,57.084999084472656,65.0,CLOSED,52.970001220703125,-0.0720854502893182,0.211883735237652,
2026-01-05,GS,SHORT,951.8350219726562,914.8096192384768,CLOSED,934.2000122070312,0.0185273806474118,0.2706484347695838,
2026-01-05,TGT,SHORT,101.27999877929688,86.98396793587175,CLOSED,107.75499725341795,-0.0639316602701685,0.4888241043277297,
2026-01-05,COST,SHORT,876.1400146484375,850.060120240481,CLOSED,887.8499755859375,-0.0133653990706026,0.3133751343918496,
2026-01-05,DIS,SHORT,112.91000366210938,105.0,OPEN,0.0,0.0,0.2485505453469992,
2026-01-05,CVX,LONG,160.55999755859375,170.0,OPEN,0.0,0.0,0.2980777144760906,
2026-01-05,SLB,LONG,43.36000061035156,46.0,OPEN,0.0,0.0,0.2774142341318651,
2026-01-05,F,LONG,13.28499984741211,15.0,CLOSED,12.135000228881836,-0.0865637660322812,0.1799878754005923,
2026-01-05,UNH,SHORT,336.07000732421875,325.3306613226453,CLOSED,343.9800109863281,-0.0235367735582494,0.2626270892420703,
2026-01-05,SNOW,SHORT,220.2700042724609,199.93987975951904,CLOSED,337.3800048828125,-0.5316656754838642,0.2233217413511969,2026-08-13
2026-01-05,DKNG,LONG,36.32500076293945,39.0,CLOSED,32.619998931884766,-0.101995918877852,0.2175840093250055,
