Date,Ticker,Type,Entry_Price,Target_Price,Status,Exit_Price,PnL
2025-12-15,AVGO,SHORT,339.80999755859375,319.7595190380762,OPEN,0.0,0.0
2025-12-15,TSLA,SHORT,475.30999755859375,460.36072144288573,OPEN,0.0,0.0
2025-12-15,NVDA,SHORT,176.2899932861328,165.03006012024048,OPEN,0.0,0.0
2025-12-15,AAPL,LONG,274.1099853515625,279.97995991983964,OPEN,0.0,0.0
2025-12-15,GOOG,LONG,309.32000732421875,324.9498997995992,OPEN,0.0,0.0
2025-12-15,MSFT,LONG,474.82000732421875,484.92985971943887,OPEN,0.0,0.0
2025-12-15,AA,LONG,45.4900016784668,55.0,OPEN,0.0,0.0
2025-12-15,AMD,SHORT,207.5800018310547,194.8196392785571,OPEN,0.0,0.0
2025-12-15,META,SHORT,647.510009765625,630.2605210420842,OPEN,0.0,0.0
2025-12-15,NFLX,LONG,93.7699966430664,101.76352705410821,OPEN,0.0,0.0
2025-12-15,SPY,LONG,680.72998046875,720.0,OPEN,0.0,0.0
2025-12-15,IWM,LONG,251.92999267578125,270.0,OPEN,0.0,0.0
